1001,강아지사료,HUNGER:100,FOOD,강아지가 좋아하는 사료,2000
1002,고양이사료,HUNGER:100,FOOD,고양이가 좋아하는 사료,2000
1003,원숭이사료,HUNGER:100,FOOD,원숭이가 좋아하는 사료,2000
1004,햄스터사료,HUNGER:100,FOOD,햄스터가 좋아하는 사료,2000
1020,물,THIRST:100,DRINK,물은 역시 삼다수,2000
1030,뼈다귀,HUNGER:10&MOOD:25,FOOD,뼈다귀 모양의 맛있는 개껌,2000
1031,빵,HUNGER:10&MOOD:25,FOOD,동물이 먹을 수 있는 맛있는 빵,2000
1032,당근,HUNGER:10&MOOD:25,FOOD,지리산 암반수로 키운 당근,2000
1033,도넛,HUNGER:10&MOOD:25,FOOD,동물이 먹을 수 있는 특제 도넛,2000
1034,고등어,HUNGER:10&MOOD:25,FOOD,강원도 산지 직송 고등어,2000
1035,피자,HUNGER:10&MOOD:25,FOOD,동물이 먹을 수 있는 특제 피자,2000
1036,산나물,HUNGER:10&MOOD:25,FOOD,맑은 공기로 키운 산나물,2000
1060,물,CLEANLINESS:50&MOOD:-25,WASH,그냥 물은 동물들이 안좋아해용,2000
1061,비누,CLEANLINESS:80&DURABILITY:10&MOOD:-25,WASH,깨끗한 비누,2000
1062,샴푸,CLEANLINESS:100&DURABILITY:5&MOOD:-25,WASH,뽀송뽀송한 향기로운 샴푸,2000